rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
CITRIC ACID CYCLE%SMPDB%SMP0000057	CITRIC ACID CYCLE	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
CONGENITAL LACTIC ACIDOSIS%PATHWHIZ%PW000522	CONGENITAL LACTIC ACIDOSIS	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
FUMARASE DEFICIENCY%SMPDB%SMP0000547	FUMARASE DEFICIENCY	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
MITOCHONDRIAL COMPLEX II DEFICIENCY%PATHWHIZ%PW000524	MITOCHONDRIAL COMPLEX II DEFICIENCY	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
PYRUVATE DEHYDROGENASE DEFICIENCY (E3)%SMPDB%SMP0000550	PYRUVATE DEHYDROGENASE DEFICIENCY (E3)	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
PYRUVATE DEHYDROGENASE DEFICIENCY (E2)%SMPDB%SMP0000551	PYRUVATE DEHYDROGENASE DEFICIENCY (E2)	0.0958356960960028	0.719258052693857	1	4190,51660,6391,8802,1738,3421,6392,55526,50,6389,5160,8801,1431,1743,2271,3419,3420,6390,1737,5162
PAFAH1B1 copy number variation%WikiPathways_20230910%WP5409%Homo sapiens	PAFAH1B1 copy number variation	0.0985419750708096	0.719258052693857	1	5048,5049,6249,5649,81565,5050,7846,1778,10726,7436,1641
METABOLISM OF STEROID HORMONES%REACTOME%R-HSA-196071.4	METABOLISM OF STEROID HORMONES	0.101912943995135	0.719258052693857	1	2230,6715,231,83930,2232,51144,134429,10948,51170,1588,51171,9256
SIGNALING BY ERBB2 ECD MUTANTS%REACTOME%R-HSA-9665348.3	SIGNALING BY ERBB2 ECD MUTANTS	0.105121305313769	0.719258052693857	-1	2064,2549,3265,6654,55914,5335,11140,3320,4893,1956,5290,5295,6464
ALPHA-LINOLENIC ACID (ALA) METABOLISM%REACTOME DATABASE ID RELEASE 38%2046106	ALPHA-LINOLENIC ACID (ALA) METABOLISM	0.11131374625024	0.719258052693857	1	3992,3295,9415,215,2180,30,64834,10005,60481,6342,54898
ALPHA-LINOLENIC (OMEGA3) AND LINOLEIC (OMEGA6) ACID METABOLISM%REACTOME DATABASE ID RELEASE 38%2046104	ALPHA-LINOLENIC (OMEGA3) AND LINOLEIC (OMEGA6) ACID METABOLISM	0.11131374625024	0.719258052693857	1	3992,3295,9415,215,2180,30,64834,10005,60481,6342,54898
NEGATIVE REGULATION OF ACTIN FILAMENT DEPOLYMERIZATION%GOBP%GO:0030835	NEGATIVE REGULATION OF ACTIN FILAMENT DEPOLYMERIZATION	0.128501105935749	0.747821483600419	1	2934,2314,2059,118,119,6840,11078,120,822,829,832,5290,5756,51474,830,11344
BARBED-END ACTIN FILAMENT CAPPING%GOBP%GO:0051016	BARBED-END ACTIN FILAMENT CAPPING	0.129088232288168	0.747821483600419	1	2934,2314,2059,118,119,6840,11078,120,822,829,832,5756,830,11344
ACTIN FILAMENT CAPPING%GOBP%GO:0051693	ACTIN FILAMENT CAPPING	0.129088232288168	0.747821483600419	1	2934,2314,2059,118,119,6840,11078,120,822,829,832,5756,830,11344
REGULATION OF AMPA RECEPTOR ACTIVITY%GOBP%GO:2000311	REGULATION OF AMPA RECEPTOR ACTIVITY	0.139235040565318	0.748975575650302	-1	4208,59283,50944,5649,54413,27092,22871,10369,254263,57555,23542,50488,59284
REGULATION OF HISTONE METHYLATION%GOBP%GO:0031060	REGULATION OF HISTONE METHYLATION	0.145730457605601	0.748975575650302	-1	11091,8467,84148,11176,54934,284058,10445,3054,51230,55683,8473
POSITIVE REGULATION OF HISTONE METHYLATION%GOBP%GO:0031062	POSITIVE REGULATION OF HISTONE METHYLATION	0.145730457605601	0.748975575650302	-1	11091,8467,84148,11176,54934,284058,10445,3054,51230,55683,8473
PURINE NUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0042278	PURINE NUCLEOSIDE METABOLIC PROCESS	0.154945517495271	0.748975575650302	-1	22978,1716,4521,22875,161823,51816,3251,28992,4860,55276,100,221443
NEGATIVE REGULATION OF REPRODUCTIVE PROCESS%GOBP%GO:2000242	NEGATIVE REGULATION OF REPRODUCTIVE PROCESS	0.170579014385505	0.748975575650302	1	54361,1843,4627,23213,5810,268,811,7076,2697,397,55743
ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442	ETOPOSIDE ACTION PATHWAY	0.185997702354388	0.748975575650302	1	5743,9601,7155,10525,10961,10130,51726,3309,23753,5479
ETOPOSIDE METABOLISM PATHWAY%PATHWHIZ%PW000577	ETOPOSIDE METABOLISM PATHWAY	0.185997702354388	0.748975575650302	1	5743,9601,7155,10525,10961,10130,51726,3309,23753,5479
STARCH AND SUCROSE METABOLISM%PATHWHIZ%PW000150	STARCH AND SUCROSE METABOLISM	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
GLYCOGEN SYNTHETASE DEFICIENCY%PATHWHIZ%PW000528	GLYCOGEN SYNTHETASE DEFICIENCY	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
GLYCOGENOSIS, TYPE III. CORI DISEASE, DEBRANCHER GLYCOGENOSIS%PATHWHIZ%PW000529	GLYCOGENOSIS, TYPE III. CORI DISEASE, DEBRANCHER GLYCOGENOSIS	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
GLYCOGENOSIS, TYPE IV. AMYLOPECTINOSIS, ANDERSON DISEASE%SMPDB%SMP0000554	GLYCOGENOSIS, TYPE IV. AMYLOPECTINOSIS, ANDERSON DISEASE	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
GLYCOGENOSIS, TYPE VI. HERS DISEASE%PATHWHIZ%PW000531	GLYCOGENOSIS, TYPE VI. HERS DISEASE	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
MUCOPOLYSACCHARIDOSIS VII. SLY SYNDROME%SMPDB%SMP0000556	MUCOPOLYSACCHARIDOSIS VII. SLY SYNDROME	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
SUCRASE-ISOMALTASE DEFICIENCY%PATHWHIZ%PW000533	SUCRASE-ISOMALTASE DEFICIENCY	0.197694615782424	0.748975575650302	-1	178,5236,7358,2632,2990,283209,2821,7360,3099,5836
POSITIVE REGULATION OF CYTOPLASMIC TRANSPORT%GOBP%GO:1903651	POSITIVE REGULATION OF CYTOPLASMIC TRANSPORT	0.200066821850369	0.748975575650302	1	4478,55823,23011,7430,1601,4771,80128,7260,25930,6653,5962,4133
NEGATIVE REGULATION OF EXOCYTOSIS%GOBP%GO:0045920	NEGATIVE REGULATION OF EXOCYTOSIS	0.217744801580701	0.748975575650302	-1	6814,140775,301,5906,2332,6622,6860,7879,3134,83452,255057,150,10079,5978,9525,634,5908,55255
PROTEIN NEDDYLATION%GOBP%GO:0045116	PROTEIN NEDDYLATION	0.225736843776574	0.748975575650302	1	9616,9040,9978,8533,64708,54165,8883,50813,10980,51138,9039,64400,10920,123879,9318,10987,23142,84259,4738,55208,2873
FATTY ACID ELONGATION%GOBP%GO:0030497	FATTY ACID ELONGATION	0.229795360924915	0.748975575650302	1	201562,215,79071,6785,64834,51144,9524,60481,51495,54898
CELLULAR RESPONSE TO GAMMA RADIATION%GOBP%GO:0071480	CELLULAR RESPONSE TO GAMMA RADIATION	0.233850712184036	0.748975575650302	-1	472,10413,3297,3265,545,79073,11011,7157,23028,2547,7486,4193,6154,7520
Omega-3 / omega-6 fatty acid synthesis%WikiPathways_20230910%WP4723%Homo sapiens	Omega-3 / omega-6 fatty acid synthesis	0.237326935957314	0.748975575650302	1	3992,9415,51,2180,8310,2182,60481,8398,2181,54898
REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0030449	REGULATION OF COMPLEMENT ACTIVATION	0.239839931628467	0.748975575650302	-1	1604,4179,708,79987,11331,710,2,5245,966,55061
PID_INTEGRIN_A4B1_PATHWAY%MSigdb_C2%PID_INTEGRIN_A4B1_PATHWAY	PID_INTEGRIN_A4B1_PATHWAY	0.243489502014841	0.748975575650302	1	5879,1793,2185,93185,7057,382,5567,5575,6714,9564,975,7094,58494,5573,10006,3688,5566,28964,1398,5786,5829,10863,2335,7534,5747,4192
ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	0.243489502014841	0.748975575650302	1	5879,1793,2185,93185,7057,382,5567,5575,6714,9564,975,7094,58494,5573,10006,3688,5566,28964,1398,5786,5829,10863,2335,7534,5747,4192
BIOCARTA_RANBP2_PATHWAY%MSigdb_C2%BIOCARTA_RANBP2_PATHWAY	BIOCARTA_RANBP2_PATHWAY	0.246643459741643	0.748975575650302	1	9734,9063,7341,5903,9759,5901,5905,8554,3065,4193,10013
MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN PROGRAMMED CELL DEATH%GOBP%GO:1902686	MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN PROGRAMMED CELL DEATH	0.254949094588416	0.748975575650302	-1	1386,79680,7417,282991,6687,664,665,10105,89941,64112,55288
Glycolysis in senescence%WikiPathways_20230910%WP5049%Homo sapiens	Glycolysis in senescence	0.25610443461726	0.748975575650302	1	3939,5925,230,5315,5230,7157,2597,3098,2023,2539,5562
NEGATIVE REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0043518	NEGATIVE REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR	0.263465526985456	0.748975575650302	1	4282,972,754,55702,960,23028,23411,4193,5716,1859
TRNA TRANSCRIPTION BY RNA POLYMERASE III%GOBP%GO:0042797	TRNA TRANSCRIPTION BY RNA POLYMERASE III	0.265353107895846	0.748975575650302	-1	55718,661,5435,112495,5441,9329,9328,2976,9330,2975
TISSUE REGENERATION%GOBP%GO:0042246	TISSUE REGENERATION	0.269462021440523	0.748975575650302	-1	301,346007,2596,975,928,8837,9215,5530,5764,861,5653,79647,5738,4192
POSITIVE REGULATION OF CREB TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0032793	POSITIVE REGULATION OF CREB TRANSCRIPTION FACTOR ACTIVITY	0.282688849889203	0.748975575650302	-1	57118,200186,9252,8986,7804,5649,2044,4345,23373,114
SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002208	SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS INVOLVED IN IMMUNE RESPONSE	0.287829102231325	0.748975575650302	1	51010,3329,4436,2956,118460,54537,3981,10459,84542,9025,165918
IMMUNOGLOBULIN PRODUCTION INVOLVED IN IMMUNOGLOBULIN-MEDIATED IMMUNE RESPONSE%GOBP%GO:0002381	IMMUNOGLOBULIN PRODUCTION INVOLVED IN IMMUNOGLOBULIN-MEDIATED IMMUNE RESPONSE	0.287829102231325	0.748975575650302	1	51010,3329,4436,2956,118460,54537,3981,10459,84542,9025,165918
INTRACELLULAR CHOLESTEROL TRANSPORT%GOBP%GO:0032367	INTRACELLULAR CHOLESTEROL TRANSPORT	0.292929929205349	0.748975575650302	1	9885,5305,57614,55207,9619,27183,134429,9066,4040,3949,84947,6342,19,5007
AXONAL TRANSPORT OF MITOCHONDRION%GOBP%GO:0019896	AXONAL TRANSPORT OF MITOCHONDRION	0.294137154300855	0.748975575650302	-1	4137,3091,55638,4976,6683,4747,22906,10013,3281,55860,66008
PROTEIN DENEDDYLATION%GOBP%GO:0000338	PROTEIN DENEDDYLATION	0.297189136427914	0.748975575650302	1	1861,8533,64708,50813,10980,51138,10920,9318,10987,2873
SUMOYLATION OF TRANSCRIPTION FACTORS%REACTOME DATABASE ID RELEASE 38%3232118	SUMOYLATION OF TRANSCRIPTION FACTORS	0.300002941613589	0.748975575650302	1	10401,7341,7022,7158,7157,8554,6613,4193,6612,6670
SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION%GOBP%GO:0000768	SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION	0.302417272490779	0.748975575650302	-1	1793,577,8912,8038,3756,975,928,58494,3688,6988,80005,9644,5738
REGULATION OF NATURAL KILLER CELL ACTIVATION%GOBP%GO:0032814	REGULATION OF NATURAL KILLER CELL ACTIVATION	0.308530669003112	0.748975575650302	1	2621,3916,639,3134,148022,10464,7297,164,3133,90379,3717,558,22890
D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6364	D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS	0.320167562552588	0.748975575650302	1	8871,5728,27124,8867,3707,253430,3635,3633,3636,4952,51763,3632,80271,9562
REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0060211	REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING	0.323525549664449	0.748975575650302	1	23112,29883,11044,22849,5436,64282,23019,57690,56478,27327,7832,26986,7538,10140
TRNA TRANSCRIPTION%GOBP%GO:0009304	TRNA TRANSCRIPTION	0.325680002510861	0.748975575650302	-1	55718,661,5435,112495,5441,9329,9328,2976,9330,2972,2975
EPHA2 FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHA2 FORWARD SIGNALING	EPHA2 FORWARD SIGNALING	0.32705154198496	0.748975575650302	1	5879,2909,1942,5058,7410,7074,6714,9564,2885,5290,1969,387,3636,10451,5295,5747,6464,52
CELLULAR ROLES OF ANTHRAX TOXIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CELLULAR ROLES OF ANTHRAX TOXIN	CELLULAR ROLES OF ANTHRAX TOXIN	0.328744112936387	0.748975575650302	1	118429,6416,5595,5594,5604,5606,5609,84168,5605,5608,808
BIOCARTA_MPR_PATHWAY%MSigdb_C2%BIOCARTA_MPR_PATHWAY	BIOCARTA_MPR_PATHWAY	0.330565012288939	0.748975575650302	-1	5300,3265,5567,5575,5577,58,5595,5594,107,5573,5576,4661,891,6195,10487,164091
REGULATION OF HUMORAL IMMUNE RESPONSE%GOBP%GO:0002920	REGULATION OF HUMORAL IMMUNE RESPONSE	0.330820940945711	0.748975575650302	-1	1604,4179,124976,708,79987,11331,710,2,5245,966,55061
Mitochondrial gene expression%WikiPathways_20230910%WP391%Homo sapiens	Mitochondrial gene expression	0.340183900764925	0.748975575650302	1	23082,50804,814,2551,3054,64216,6667,51106,7019,4899,5530,2101,2553,1385,5442
PROTEIN METHYLATION%REACTOME DATABASE ID RELEASE 38%8876725	PROTEIN METHYLATION	0.34223437182876	0.748975575650302	-1	6187,22944,151194,79091,2109,3312,10196,1915,1938,808
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND TRANSPORT%GOBP%GO:0032239	REGULATION OF NUCLEOBASE-CONTAINING COMPOUND TRANSPORT	0.347539280108699	0.748975575650302	-1	55677,8737,7175,10657,29072,26993,22916,9972,6830,11052,1660,54888,65125,55051
POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0060213	POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING	0.354651209124928	0.748975575650302	1	23112,29883,22849,5436,23019,57690,56478,27327,7832,26986,7538,10140
REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0030808	REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS	0.356655036023954	0.748975575650302	1	65990,201163,5163,142,5165,65018,84277,5164,7114,2023,56848,4846
REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371	REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS	0.356655036023954	0.748975575650302	1	65990,201163,5163,142,5165,65018,84277,5164,7114,2023,56848,4846
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS%GOBP%GO:0002862	NEGATIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS	0.365604863658858	0.758291569070224	-1	7525,4067,6850,1432,5045,5335,6714,79651,2534,10769
ANDROSTENEDIONE METABOLISM%SMPDB%SMP0030406	ANDROSTENEDIONE METABOLISM	0.381400429657022	0.7597713144963	1	9601,6715,10525,10961,10130,51726,3309,23753,1588,5479
MATURATION OF NUCLEOPROTEIN%REACTOME DATABASE ID RELEASE 38%9694631	MATURATION OF NUCLEOPROTEIN	0.383820408036458	0.7597713144963	-1	2931,143,6733,2932,7341,3276,83666,56965,79668,54625,1452,54956,6732
REGULATION OF RNA EXPORT FROM NUCLEUS%GOBP%GO:0046831	REGULATION OF RNA EXPORT FROM NUCLEUS	0.389505788528017	0.7597713144963	-1	55677,7175,10657,29072,26993,22916,9972,6830,11052,1660,54888,65125,55051
BIOCARTA_STATHMIN_PATHWAY%MSigdb_C2%BIOCARTA_STATHMIN_PATHWAY	BIOCARTA_STATHMIN_PATHWAY	0.393351582182414	0.7597713144963	1	814,5567,127933,5575,5577,5573,9821,5576,5603,891,3925,3309,7251
GLYCEROPHOSPHOLIPID CATABOLIC PROCESS%GOBP%GO:0046475	GLYCEROPHOSPHOLIPID CATABOLIC PROCESS	0.396772314136656	0.7597713144963	-1	56261,26090,22876,51573,50640,8605,7920,55627,9588,284161,10908,23659,5168,8398
PID_ERB_GENOMIC_PATHWAY%MSigdb_C2%PID_ERB_GENOMIC_PATHWAY	PID_ERB_GENOMIC_PATHWAY	0.405366414721524	0.7597713144963	-1	6597,9040,6605,8202,10499,8648,9039,718,6598,7561,79039,4738
VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK	VALIDATED NUCLEAR ESTROGEN RECEPTOR BETA NETWORK	0.405366414721524	0.7597713144963	-1	6597,9040,6605,8202,10499,8648,9039,718,6598,7561,79039,4738
CELL-CELL FUSION%GOBP%GO:0140253	CELL-CELL FUSION	0.413901485307129	0.7597713144963	-1	1793,577,8912,8038,3756,975,928,58494,3688,6988,80005,79805,9644,5738
FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0038096	FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS	0.430240864099276	0.7597713144963	-1	7525,4067,6850,3984,5581,5058,7410,6714,25,2534,8398,5580,10451,5747
FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY%GOBP%GO:0002431	FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY	0.430240864099276	0.7597713144963	-1	7525,4067,6850,3984,5581,5058,7410,6714,25,2534,8398,5580,10451,5747
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0002433	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS	0.430240864099276	0.7597713144963	-1	7525,4067,6850,3984,5581,5058,7410,6714,25,2534,8398,5580,10451,5747
FC-GAMMA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0038094	FC-GAMMA RECEPTOR SIGNALING PATHWAY	0.430240864099276	0.7597713144963	-1	7525,4067,6850,3984,5581,5058,7410,6714,25,2534,8398,5580,10451,5747
REGULATION OF CERAMIDE BIOSYNTHETIC PROCESS%GOBP%GO:2000303	REGULATION OF CERAMIDE BIOSYNTHETIC PROCESS	0.434625391382023	0.7597713144963	1	8877,94101,29095,23410,8398,142891,5580,94103,56848,5562
REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0090153	REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS	0.446585830177958	0.7597713144963	1	8877,94101,29095,23410,20,8398,142891,5580,94103,56848,5562
REGULATION OF MEMBRANE LIPID METABOLIC PROCESS%GOBP%GO:1905038	REGULATION OF MEMBRANE LIPID METABOLIC PROCESS	0.446585830177958	0.7597713144963	1	8877,94101,29095,23410,20,8398,142891,5580,94103,56848,5562
TRIGEMINAL NERVE DEVELOPMENT%GOBP%GO:0021559	TRIGEMINAL NERVE DEVELOPMENT	0.453365989913733	0.7597713144963	-1	91584,8829,7020,8828,3670,6405,55558,5457,10371,4762
POSITIVE REGULATION OF NATURAL KILLER CELL ACTIVATION%GOBP%GO:0032816	POSITIVE REGULATION OF NATURAL KILLER CELL ACTIVATION	0.456036530138992	0.7597713144963	1	2621,3916,3134,148022,7297,164,3133,3717,558,22890
PID_RANBP2_PATHWAY%MSigdb_C2%PID_RANBP2_PATHWAY	PID_RANBP2_PATHWAY	0.458204369243852	0.7597713144963	1	7329,9063,7341,5903,9759,5901,5905,8554,7514,3065,4193
SYNCYTIUM FORMATION%GOBP%GO:0006949	SYNCYTIUM FORMATION	0.460848130368613	0.7597713144963	-1	1793,577,8912,8038,3756,975,928,58494,3688,6988,80005,1588,9644,5738
REGULATION OF PROTEIN LOCALIZATION TO CAJAL BODY%GOBP%GO:1904869	REGULATION OF PROTEIN LOCALIZATION TO CAJAL BODY	0.461289726658468	0.7597713144963	-1	1736,51574,7203,22948,6950,10576,10694,56257,10574,908,10575
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CAJAL BODY%GOBP%GO:1904871	POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CAJAL BODY	0.461289726658468	0.7597713144963	-1	1736,51574,7203,22948,6950,10576,10694,56257,10574,908,10575
RAS PROCESSING%REACTOME DATABASE ID RELEASE 38%9648002	RAS PROCESSING	0.470341591562271	0.767159100800597	1	5593,3265,51125,5147,81926,58489,51114,5588,51104,10434,402,4893,9986,598,23463,808,2342,2339,3845
ERK1 AND ERK2 CASCADE%GOBP%GO:0070371	ERK1 AND ERK2 CASCADE	0.49022554043797	0.781447421465897	-1	3685,677,1847,1848,4609,5594,6662,5604,1512,5605,678,3735,1849
CASPASE-MEDIATED CLEAVAGE OF CYTOSKELETAL PROTEINS%REACTOME%R-HSA-264870.2	CASPASE-MEDIATED CLEAVAGE OF CYTOSKELETAL PROTEINS	0.490388529209698	0.781447421465897	1	4137,28988,2934,841,118,839,836,5339,6709,7431,840
REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:2000300	REGULATION OF SYNAPTIC VESICLE EXOCYTOSIS	0.493056111163007	0.781447421465897	1	5906,6853,2332,9581,5868,22930,22999,6857,22871,9783,140730,9498,57617,23557,5413,84062,5908
