rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
MET ACTIVATES PTK2 SIGNALING%REACTOME%R-HSA-8874081.2	MET ACTIVATES PTK2 SIGNALING	2.49437857548233e-08	4.26765498096158e-06	-1	4233,6714,3688,3918,3911,3673,284217,3912,3914,3915,5747,3675,3913
Cholesterol synthesis disorders%WikiPathways_20230910%WP5193%Homo sapiens	Cholesterol synthesis disorders	3.12669854372145e-08	4.73171058092628e-06	1	4597,3422,10682,4598,4047,1595,1718,2224,6309,2222,3930,3157,10654,6307,1717,3156,6713
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION	3.26845045441241e-08	4.73171058092628e-06	-1	4016,4763,4017,8985,80781,1277,649,1303,1301,23127,1289,871,7042,10491,1278,7046,79709,10609,538
ENDODERM DEVELOPMENT%GOBP%GO:0007492	ENDODERM DEVELOPMENT	3.56070965806478e-08	4.78661112605566e-06	-1	3685,4318,1843,4313,677,1847,1846,9646,54623,29072,3678,79577,1303,1301,6657,3689,1284,8091,1291,55614,123169,2335,3679,3912,3914,3915,4324,4323,83595,3693,23168,3624
CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 38%191273	CHOLESTEROL BIOSYNTHESIS	7.7946063790769e-08	9.77963280361515e-06	1	403313,3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3930,3157,9453,6307,6720,1717,64801,6721,51478,6713
EXTRACELLULAR MATRIX DISASSEMBLY%GOBP%GO:0022617	EXTRACELLULAR MATRIX DISASSEMBLY	8.8648981332974e-08	1.04273364292911e-05	-1	2934,4318,4313,3936,5045,822,149371,1515,4320,10211,102,3915,4324,4323,285590,101,8751,100287171
Hair follicle development: cytodifferentiation - part 3 of 3%WikiPathways_20230910%WP2840%Homo sapiens	Hair follicle development: cytodifferentiation - part 3 of 3	1.3092266589283e-07	1.4493909247665e-05	-1	1824,8321,4488,4851,3488,26018,6868,64065,3880,6925,4089,4853,6929,1499,3516,6662,657,2908,6422,6657,27122,8842,4086,4345,1956,2625,5653,1747,10468,51176,2353,3725,1490,22822,1523,4790,4254,23560
Cholesterol biosynthesis pathway%WikiPathways_20230910%WP197%Homo sapiens	Cholesterol biosynthesis pathway	2.48408263151875e-07	2.58976221860682e-05	1	4597,3422,4598,4047,1595,50814,2224,6309,2222,3157,10654,6307,1717,3156,6713
Type I collagen synthesis in the context of osteogenesis imperfecta%WikiPathways_20230910%WP4786%Homo sapiens	Type I collagen synthesis in the context of osteogenesis imperfecta	2.68335857979451e-07	2.58976221860682e-05	-1	55151,90993,8321,3708,4041,60681,1277,649,64175,51360,5033,375056,5352,4040,5034,5176,871,5479,5351,55214,10491,1278,8720,79709,8974
Enterocyte cholesterol metabolism%WikiPathways_20230910%WP5333%Homo sapiens	Enterocyte cholesterol metabolism	2.7521383832166e-07	2.58976221860682e-05	1	4597,3422,10682,10999,39,4598,4047,1595,7108,1718,50814,4245,2224,6309,2222,3930,3157,10654,3949,6307,1717,51128,19,8694,3156,51478,6713
CHOLESTEROL BIOSYNTHESIS III (VIA DESMOSTEROL)%BIOCYC%PWY66-4	CHOLESTEROL BIOSYNTHESIS III (VIA DESMOSTEROL)	4.80277278478578e-07	3.92992103520297e-05	1	10682,1595,7108,1718,50814,6309,2222,3930,90134,6307,1717,51478,6713
CHOLESTEROL BIOSYNTHESIS I%BIOCYC%PWY66-341	CHOLESTEROL BIOSYNTHESIS I	4.80277278478578e-07	3.92992103520297e-05	1	10682,1595,7108,1718,50814,6309,2222,3930,90134,6307,1717,51478,6713
CHOLESTEROL BIOSYNTHESIS II (VIA 24,25-DIHYDROLANOSTEROL)%BIOCYC%PWY66-3	CHOLESTEROL BIOSYNTHESIS II (VIA 24,25-DIHYDROLANOSTEROL)	4.80277278478578e-07	3.92992103520297e-05	1	10682,1595,7108,1718,50814,6309,2222,3930,90134,6307,1717,51478,6713
ENDODERM FORMATION%GOBP%GO:0001706	ENDODERM FORMATION	6.28198441185838e-07	4.92612277629895e-05	-1	3685,4318,1843,4313,1847,1846,9646,54623,29072,3678,79577,1303,1301,6657,3689,1284,8091,1291,123169,2335,3679,3912,3914,4324,4323,83595,3693,23168,3624
STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	STEROL BIOSYNTHETIC PROCESS	8.26011190759936e-07	6.2182122440408e-05	1	47,51422,403313,10682,4598,1595,7108,1718,50814,51141,6309,2222,3930,3157,6307,10449,1717,2539,3638,64801,3156,51478,6713
Complement and coagulation cascades%WikiPathways_20230910%WP558%Homo sapiens	Complement and coagulation cascades	1.43832952619268e-06	0.000104112929549793	-1	1604,5627,4179,7035,718,710,5054,5329,2153,2149,1213,1191,5328,3998
SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	SECONDARY ALCOHOL BIOSYNTHETIC PROCESS	2.33437500399486e-06	0.000156903348482798	1	47,403313,10682,4598,1595,7108,1718,50814,51141,6309,2222,3930,3157,6307,10449,1717,2539,3638,64801,3156,51478
CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695	CHOLESTEROL BIOSYNTHETIC PROCESS	2.33437500399486e-06	0.000156903348482798	1	47,403313,10682,4598,1595,7108,1718,50814,51141,6309,2222,3930,3157,6307,10449,1717,2539,3638,64801,3156,51478
REGULATION OF INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:2001044	REGULATION OF INTEGRIN-MEDIATED SIGNALING PATHWAY	2.50117848495797e-06	0.000162317858920376	-1	4811,3987,57126,9270,967,7076,65979,284217,81031,3912,3915,3913,2316
REGULATION OF AMPA RECEPTOR ACTIVITY%GOBP%GO:2000311	REGULATION OF AMPA RECEPTOR ACTIVITY	4.61309511766073e-06	0.000280827088549623	1	4208,59283,50944,5649,54413,27092,22871,10369,254263,57555,23542,50488,59284
MET PROMOTES CELL MOTILITY%REACTOME%R-HSA-8875878.2	MET PROMOTES CELL MOTILITY	4.6257384405092e-06	0.000280827088549623	-1	5906,4233,5879,2549,6714,3688,3918,1398,3911,3673,284217,3912,3914,3915,5747,85440,5908,3675,3913,64759,2889,1399
PID_IL27_PATHWAY%MSigdb_C2%PID_IL27_PATHWAY	PID_IL27_PATHWAY	7.3078295421953e-06	0.000389968783436797	-1	6772,7297,3572,3716,2625,10148,6773,3717,6774,7040
IL27-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL27-MEDIATED SIGNALING EVENTS	IL27-MEDIATED SIGNALING EVENTS	7.3078295421953e-06	0.000389968783436797	-1	6772,7297,3572,3716,2625,10148,6773,3717,6774,7040
STEROID BIOSYNTHESIS%PATHWHIZ%PW000050	STEROID BIOSYNTHESIS	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
SMITH-LEMLI-OPITZ SYNDROME (SLOS)%PATHWHIZ%PW000095	SMITH-LEMLI-OPITZ SYNDROME (SLOS)	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
CHILD SYNDROME%PATHWHIZ%PW000096	CHILD SYNDROME	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
DESMOSTEROLOSIS%PATHWHIZ%PW000097	DESMOSTEROLOSIS	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388	CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
LYSOSOMAL ACID LIPASE DEFICIENCY (WOLMAN DISEASE)%PATHWHIZ%PW000099	LYSOSOMAL ACID LIPASE DEFICIENCY (WOLMAN DISEASE)	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
IBANDRONATE ACTION PATHWAY%SMPDB%SMP0000079	IBANDRONATE ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	SIMVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
PRAVASTATIN ACTION PATHWAY%SMPDB%SMP0000089	PRAVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
ROSUVASTATIN ACTION PATHWAY%SMPDB%SMP0000092	ROSUVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137	ALENDRONATE ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
HYPERCHOLESTEROLEMIA%PATHWHIZ%PW000221	HYPERCHOLESTEROLEMIA	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099	LOVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	ZOLEDRONATE ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
CERIVASTATIN ACTION PATHWAY%PATHWHIZ%PW000271	CERIVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
RISEDRONATE ACTION PATHWAY%PATHWHIZ%PW000272	RISEDRONATE ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
PAMIDRONATE ACTION PATHWAY%PATHWHIZ%PW000273	PAMIDRONATE ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274	FLUVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
ATORVASTATIN ACTION PATHWAY%SMPDB%SMP0000131	ATORVASTATIN ACTION PATHWAY	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
CHOLESTERYL ESTER STORAGE DISEASE%SMPDB%SMP0000508	CHOLESTERYL ESTER STORAGE DISEASE	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
HYPER-IGD SYNDROME%SMPDB%SMP0000509	HYPER-IGD SYNDROME	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
MEVALONIC ACIDURIA%SMPDB%SMP0000510	MEVALONIC ACIDURIA	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
WOLMAN DISEASE%PATHWHIZ%PW000487	WOLMAN DISEASE	1.16037470098091e-05	0.000389968783436797	1	3422,10682,39,4598,1595,7108,1718,50814,2224,6309,2222,3988,9453,6307,3156,51478,6646,6713
Synaptic vesicle pathway%WikiPathways_20230910%WP2267%Homo sapiens	Synaptic vesicle pathway	1.42145183759569e-05	0.000469328483921945	1	6853,6507,10059,2055,57030,163,161,22999,10497,6616,6854,6812,160,2054,6809,6857,112755,1173,10815,81539,6855,8218,57084,291,773,5864,6844,4905,1785,8224,1759,10814,6572,1175,1213,8775,11315,26052,774,23025,1211,6804
17p13.3 (YWHAE) copy number variation%WikiPathways_20230910%WP5376%Homo sapiens	17p13.3 (YWHAE) copy number variation	1.55979854048976e-05	0.000506127733310642	1	1644,7533,5048,51164,1020,10671,1639,84516,10971,81565,1778,7534,7532,11258,10540,7531,5515,7529
ATTACHMENT AND ENTRY%REACTOME DATABASE ID RELEASE 38%9694614	ATTACHMENT AND ENTRY	4.1170154126736e-05	0.00130745496434055	-1	6385,221914,8829,10082,5045,3339,6383,1514,2239,9672,2817,6382,375790
COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574	COLLAGEN CATABOLIC PROCESS	4.16829425400813e-05	0.00130745496434055	-1	4318,4313,4325,5045,1508,1514,4326,9902,4320,5653,4324,4323,10893
AMINOGLYCAN CATABOLIC PROCESS%GOBP%GO:0006026	AMINOGLYCAN CATABOLIC PROCESS	4.24289339954665e-05	0.00130903694720439	-1	2990,2247,6448,960,2720,1486,3423,2799,8692,2517,7040
Hypothesized pathways in pathogenesis of cardiovascular disease%WikiPathways_20230910%WP3668%Homo sapiens	Hypothesized pathways in pathogenesis of cardiovascular disease	0.000119585480478813	0.00362999797195365	-1	1432,7182,4089,5595,5594,84467,5054,4052,6464,1490,4053,2200,2316,7046,5599,4087,2201,4088
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN	0.000135027079964614	0.0040336661030699	-1	200576,5641,567,3134,1514,54842,1515,1509,3133,1785,3105,4012,3551
POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722	POSITIVE REGULATION OF CHEMOKINE PRODUCTION	0.000142186119474848	0.00418116057580723	-1	4155,2150,6850,3091,116,972,351,5610,1436,6868,3162,1654,4940,1958,57506,23765,3146,7040
Neovascularisation processes%WikiPathways_20230910%WP4331%Homo sapiens	Neovascularisation processes	0.000159210054114917	0.00460974341298884	-1	5971,4318,2050,4851,5966,7852,3091,4093,4854,5595,5594,5601,5155,4086,7043,207,4791,54567,7042,4090,7046,5599,4790,4087,7040,182,5970,4254,4088,2048
Degradation pathway of sphingolipids, including diseases%WikiPathways_20230910%WP4153%Homo sapiens	Degradation pathway of sphingolipids, including diseases	0.000174973648603089	0.00498940010107595	-1	2629,10577,2581,950,10825,2717,4758,3073,2720,2760,3988,4864,410,3074,5660
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME DATABASE ID RELEASE 38%389960	FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC	0.000187006250112569	0.00525292183152022	1	347733,10382,7203,22948,10381,10383,6950,10576,10694,10376,84790,10574,7846,908,7280,10575,84617
REGULATION OF BASEMENT MEMBRANE ORGANIZATION%GOBP%GO:0110011	REGULATION OF BASEMENT MEMBRANE ORGANIZATION	0.000224578247676097	0.00615390758072111	-1	4811,23187,23122,90102,1605,284217,3912,3915,23332,3913
PROCOLLAGEN HYDROXYLATION AND GLYCOSYLATION%BIOCYC%PWY-7894	PROCOLLAGEN HYDROXYLATION AND GLYCOSYLATION	0.00022562147878308	0.00615390758072111	-1	8985,64175,23127,10536,5033,5352,5034,5479,5351,55214,23210,10491,79709,8974
NEGATIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070168	NEGATIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT	0.000228904811146341	0.00615426935110591	-1	54880,2185,2621,4851,1893,6662,9475,4846,54795,6093,23462,7040
Nicotine effect on dopaminergic neurons%WikiPathways_20230910%WP1602%Homo sapiens	Nicotine effect on dopaminergic neurons	0.000237904407822321	0.00630614219044519	1	1137,1136,1644,3777,108,1020,2770,1141,5499,1138,5566,54331,1813,2782
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION	0.000279472639148273	0.00730510426218124	-1	10628,301,1832,26154,3855,1001,8394,6768,613,8837,5469,7357,23596,5530,836,8754,3858,1969,3713,427,25932,182,23086
GLYCOSAMINOGLYCAN CATABOLIC PROCESS%GOBP%GO:0006027	GLYCOSAMINOGLYCAN CATABOLIC PROCESS	0.000286395539407669	0.00738351239952374	-1	2990,2247,6448,960,2720,3423,2799,8692,2517,7040
BIOCARTA_LIS1_PATHWAY%MSigdb_C2%BIOCARTA_LIS1_PATHWAY	BIOCARTA_LIS1_PATHWAY	0.0003336345068011	0.0084851370513469	1	8851,5048,7804,1020,25,6249,10671,1639,5649,1457,81565,8655,1641,11258
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME%R-HSA-389958.3	COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING	0.000341232899930273	0.00856267090225031	1	347733,10382,5201,7203,60,22948,10381,10383,6950,5202,10576,10694,5203,10376,84790,7411,10574,7846,908,5204,7280,10575,84617,10471
HS-GAG DEGRADATION%REACTOME DATABASE ID RELEASE 38%2024096	HS-GAG DEGRADATION	0.00039898341126007	0.00982463440365984	-1	6385,221914,2990,10082,3339,6383,6448,2239,9672,2817,4669,2720,3423,6382,375790
CARBOXYTERMINAL POST-TRANSLATIONAL MODIFICATIONS OF TUBULIN%REACTOME%R-HSA-8955332.2	CARBOXYTERMINAL POST-TRANSLATIONAL MODIFICATIONS OF TUBULIN	0.000401964319384595	0.00982463440365984	1	347733,10382,374969,23093,84276,91978,158135,10381,10383,9654,10376,84790,22846,25941,150465,7846,23287,7280,25809,79739,23170,79805,60509,54839,84617
miRNA regulation of DNA damage response%WikiPathways_20230910%WP1530%Homo sapiens	miRNA regulation of DNA damage response	0.00046466515550906	0.0110606736024414	-1	472,8243,841,1647,993,4616,6118,637,355,5925,10111,545,900,9874,27244,4609,581,1020,894,25,11011,7157,5810,5371,5591,1027,1021,4176,836,2177,891,1019,10912,27113,5981,50484,2810,1385,4193,1017,1643,896,84126,1111,8795,54205,595,3014,5884,842,1026,55367,4361,898,5366,317,4683
ACTIVATION OF MATRIX METALLOPROTEINASES%REACTOME%R-HSA-1592389.3	ACTIVATION OF MATRIX METALLOPROTEINASES	0.000469962169249908	0.0110606736024414	-1	4318,4313,4325,5045,80781,4326,1515,50859,4320,7076,7077,4324,4323,10893
AGE/RAGE pathway%WikiPathways_20230910%WP2324%Homo sapiens	AGE/RAGE pathway	0.00047016678437583	0.0110606736024414	-1	1386,5590,4478,841,4318,5879,2308,4313,5894,1650,6772,1432,3091,4303,7430,6714,5595,5594,6777,5601,6667,1147,4792,6647,5604,4615,3958,1956,836,5580,207,387,3717,5578,6464,54205,4323,4846,3725,6093,3667,5579,842,3643,5599,6774,4790,4087,3551,1729,5970,4088,998
miRNA regulation of p53 pathway in prostate cancer%WikiPathways_20230910%WP3982%Homo sapiens	miRNA regulation of p53 pathway in prostate cancer	0.000507979612214556	0.0118026867924419	-1	472,841,637,5728,64393,51246,64065,581,143686,9538,7157,5054,836,27113,4193,6477,1643,8795,842,5366,317
REGULATION OF STEM CELL PROLIFERATION%GOBP%GO:0072091	REGULATION OF STEM CELL PROLIFERATION	0.000515332104944406	0.0118275002622606	-1	3148,677,10413,4054,5610,6664,11143,5134,192669,23028,8091,10979,2697,8848,2192,10443,3192,7046,7040,898,4072
VESICLE TRANSPORT ALONG ACTIN FILAMENT%GOBP%GO:0030050	VESICLE TRANSPORT ALONG ACTIN FILAMENT	0.0005546107678577	0.0125756321097372	-1	54874,4646,4644,4430,4643,80179,4645,4641,4642,8976,81
EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	EPIDERMAL CELL DIFFERENTIATION	0.000640363586906471	0.0143471936971188	-1	10628,301,170961,1832,9497,4646,5357,26154,3855,124842,1499,1001,8394,6768,613,25861,8837,5469,7357,23596,5530,836,8754,3065,3714,3858,344167,1969,3066,5017,286262,2068,3713,427,25932,182,23086,2071
TISSUE REMODELING%GOBP%GO:0048771	TISSUE REMODELING	0.000681917650404981	0.0150984590360256	-1	4313,2185,1943,4208,55366,3091,1200,4041,4853,6714,1999,3516,857,659,9545,5764,2697,1969,171392,54567,2149,4846,93,7040,10609,538
NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE	0.000696997331206528	0.0152528950852405	-1	409,29883,84640,56339,6223,9470,9140,7301,8815,3134,142,58509,26058,25939,710,6737,60343,4940,3428,3133,3106,7376,9636,10906,6773,54625,2,7534,634,7128,23170,5771,5272,55646,51441,55061,80254,2896,9958,84243,3105,7040,9474,253943
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 38%6809371	FORMATION OF THE CORNIFIED ENVELOPE	0.000723844492092738	0.015355583876114	-1	5318,8502,1824,826,5493,1832,823,5045,23254,64065,1829,6768,5652,1825,1830,3713,11187,3728
CREB1 PHOSPHORYLATION THROUGH THE ACTIVATION OF ADENYLATE CYCLASE%REACTOME%R-HSA-442720.5	CREB1 PHOSPHORYLATION THROUGH THE ACTIVATION OF ADENYLATE CYCLASE	0.000724506141085418	0.015355583876114	1	5567,5575,5577,5573,5566,5576,1385,808,114,5613
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 38%389957	PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC	0.000726167356521864	0.015355583876114	1	347733,10382,5201,7203,60,22948,10381,10383,6950,5202,10576,10694,5203,84790,7411,10574,7846,908,5204,7280,10575,84617,10471
REGULATION OF B CELL DIFFERENTIATION%GOBP%GO:0045577	REGULATION OF B CELL DIFFERENTIATION	0.000841839323666565	0.0176037956348942	-1	3398,7494,677,6850,55012,3635,6422,678,4323,3624
GLYCOSPHINGOLIPID CATABOLISM%REACTOME DATABASE ID RELEASE 38%9840310	GLYCOSPHINGOLIPID CATABOLISM	0.000882568388687295	0.0182526781044999	-1	2629,2581,57704,411,153642,55627,22901,10825,55512,285362,2717,4758,3073,2720,5476,2760,6609,340075,4074,25870,427,414,410,3074,5660
Mevalonate arm of cholesterol biosynthesis pathway%WikiPathways_20230910%WP4190%Homo sapiens	Mevalonate arm of cholesterol biosynthesis pathway	0.000996730463237994	0.0203896383892816	1	4597,3422,39,4598,38,2224,2222,3157,10654,9453,3156,3155
REGULATION OF PROTEIN PROCESSING%GOBP%GO:0070613	REGULATION OF PROTEIN PROCESSING	0.00103597397541824	0.0209645486208293	-1	2934,9532,6281,4627,22900,11236,7057,79094,84236,5054,5329,1201,861,55848,1522,2023,331,5328,302,831,101,5270,29934
POSITIVE REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051149	POSITIVE REGULATION OF MUSCLE CELL DIFFERENTIATION	0.00109601157469583	0.0219435508891229	-1	5936,1491,4811,6300,23250,5600,1906,1948,1432,4851,4208,93145,9794,4853,3084,284217,9472,3912,3915,4323,3913,5629,64855,7040,9780,8536
