rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
NEGATIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050868	NEGATIVE REGULATION OF T CELL ACTIVATION	0.0044937973885895	0.995888288971654	1	27242,6385,301,9750,64115,1845,51043,11146,5573,865,3958,9231,3659,9655,57045,3133,2737,84524,861,23513,634,3146,5771,23240,4192,55824,1051,149041,6522,4092,10385,387597
POSITIVE REGULATION OF CALCIUM-MEDIATED SIGNALING%GOBP%GO:0050850	POSITIVE REGULATION OF CALCIUM-MEDIATED SIGNALING	0.00501666220042193	0.995888288971654	1	5024,6548,1906,121665,29995,10523,351,5725,5534,5533,5530,10519,9472,5336,5532,23261,375346
PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.4	PHOSPHORYLATION OF THE APC C	0.00530705394058427	0.995888288971654	-1	8697,25906,27338,29882,8881,246184,119504,996,891,51433,7321,51529,29945,64682,7324
DNA DAMAGE BYPASS%REACTOME DATABASE ID RELEASE 38%73893	DNA DAMAGE BYPASS	0.00564498605546976	0.995888288971654	1	9246,6118,8450,9978,1642,11201,5984,51455,5111,9100,7398,7706,5985,5983,7316,8451,7314,10714,51426,5981,9636,10459,57804,7311,6119,6117,5982,57599,6233,5424,5426,7320,54107,7353,5425,5429,83932,55666
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION	0.0058783202067235	0.995888288971654	1	472,27242,6385,301,3398,9750,4067,64115,1845,51043,3134,6664,10464,11146,5573,865,6422,9984,3958,9231,3659,9655,57045,3133,2737,84524,861,23513,634,7128,3146,5771,23240,4192,55824,1051,149041,6522,3624,4092,10385,387597
TRAIL%IOB%TRAIL	TRAIL	0.00598951367514214	0.995888288971654	1	472,8794,841,8772,27018,7818,637,8793,1432,8737,1508,142,581,6714,1499,5595,5594,843,4170,1457,4792,578,8837,5591,7186,836,6885,8915,7416,9131,207,1385,8795,331,54205,5562,840,867,3014,835,8517,8797,4790,317,5970,56616
NEGATIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042130	NEGATIVE REGULATION OF T CELL PROLIFERATION	0.00623995437537692	0.995888288971654	1	27242,6385,64115,51043,11146,5573,9231,57045,3133,23513,23240,1051,149041,6522,10385
PROTEIN K11-LINKED UBIQUITINATION%GOBP%GO:0070979	PROTEIN K11-LINKED UBIQUITINATION	0.00641405438500743	0.995888288971654	-1	8697,79102,27338,7325,25847,29882,29089,8881,7319,246184,996,51433,51529,9870,7328,7332,29945,64682,7320,51343,10477,51619,55284
REMOVAL OF THE FLAP INTERMEDIATE%REACTOME%R-HSA-69166.3	REMOVAL OF THE FLAP INTERMEDIATE	0.00726852956057631	0.995888288971654	1	6118,5557,5111,2237,10714,57804,5558,6119,5422,6117,5424,5425
REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND%REACTOME%R-HSA-174437.4	REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND	0.00730237211716685	0.995888288971654	1	6118,5111,26277,2237,7013,10714,7486,7014,57804,6119,6117,54386,5424,25913,65057,5425
TERMINATION OF TRANSLESION DNA SYNTHESIS%REACTOME DATABASE ID RELEASE 38%5656169	TERMINATION OF TRANSLESION DNA SYNTHESIS	0.00755414378447371	0.995888288971654	1	9246,6118,11201,5984,51455,5111,9100,7706,5985,5983,7316,7314,10714,51426,5981,9636,57804,7311,6119,6117,5982,6233,5424,5426,54107,5425,5429
EXIT FROM MITOSIS%GOBP%GO:0010458	EXIT FROM MITOSIS	0.00756649590927902	0.995888288971654	-1	128866,2059,27338,23122,6683,55844,23332,27243,9150,91782
MFAP5-mediated ovarian cancer cell motility and invasiveness%WikiPathways_20230910%WP3301%Homo sapiens	MFAP5-mediated ovarian cancer cell motility and invasiveness	0.00779386026763682	0.995888288971654	1	3685,5335,5595,5594,5588,8076,1385,5747,3710,3725,3690
PID_ERA_GENOMIC_PATHWAY%MSigdb_C2%PID_ERA_GENOMIC_PATHWAY	PID_ERA_GENOMIC_PATHWAY	0.0078441065547199	0.995888288971654	1	9611,9166,7494,9612,9040,6294,322,5111,135112,8202,80781,10499,9759,4609,8648,8125,4089,1826,8204,11331,9039,718,8543,1147,57658,2033,6647,5469,10521,3298,3732,1509,5457,4350,3065,63977,79039,5458,4738,9687,3725,84458,595,522,1051,10011,21,4731,162,6418,8313
IL3%NetPath%IL3	IL3	0.00794207800854197	0.995888288971654	1	2931,4067,2308,2549,3265,572,2932,5293,2624,466,5594,6513,3635,9021,8835,5604,5566,1398,10399,598,5777,5914,1385,7534,6256,5578,5295,5747,6464,9846,5579,4790,1399,5515,7529,5296,10018
POSITIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010922	POSITIVE REGULATION OF PHOSPHATASE ACTIVITY	0.00820658974274418	0.995888288971654	-1	2768,23645,4208,5524,4659,9863,3672,808,3326,6093,2822,650
POSITIVE REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106058	POSITIVE REGULATION OF CALCINEURIN-MEDIATED SIGNALING	0.00898579931416687	0.995888288971654	1	6548,121665,29995,10523,5725,5534,5533,5530,10519,9472,5532,23261,375346
POSITIVE REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE%GOBP%GO:0070886	POSITIVE REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE	0.00898579931416687	0.995888288971654	1	6548,121665,29995,10523,5725,5534,5533,5530,10519,9472,5532,23261,375346
DISEASES OF CARBOHYDRATE METABOLISM%REACTOME DATABASE ID RELEASE 38%5663084	DISEASES OF CARBOHYDRATE METABOLISM	0.00921789149290576	0.995888288971654	1	6888,2632,2990,411,6448,2588,92579,2992,3795,4669,2720,7316,2548,51181,7314,3423,2799,7311,2997,6233,138050,22934,2542,8908,7957
NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050672	NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION	0.00923285453514571	0.995888288971654	1	472,27242,6385,4067,64115,51043,6664,11146,5573,9231,57045,3133,23513,23240,1051,149041,6522,10385
NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032945	NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION	0.00923285453514571	0.995888288971654	1	472,27242,6385,4067,64115,51043,6664,11146,5573,9231,57045,3133,23513,23240,1051,149041,6522,10385
PID_BCR_5PATHWAY%MSigdb_C2%PID_BCR_5PATHWAY	PID_BCR_5PATHWAY	0.00957241029526056	0.995888288971654	1	818,4067,5879,5894,6850,3265,5728,1432,25998,6654,7410,5921,5170,5595,5594,10892,1147,1457,9467,4792,5604,5533,5530,27071,6885,2885,8915,5290,5777,207,4214,7189,5295,6464,2353,55824,3725,5336,84433,5532,8517,2113,1445,5599,4790,3551,5970,4793,2002,5452
RANKL/RANK signaling pathway%WikiPathways_20230910%WP2018%Homo sapiens	RANKL/RANK signaling pathway	0.0095886374398916	0.995888288971654	1	5971,4067,5879,6850,6772,1432,2274,5335,3383,6714,5595,5594,5601,1147,7187,4792,5604,23118,5609,5608,7186,6885,207,4791,7189,208,5295,5747,8878,2353,3725,867,9846,8517,5599,4790,10454,3551,5970,998,5296
RESPONSE TO ALKALOID%GOBP%GO:0043279	RESPONSE TO ALKALOID	0.00996561791019203	0.995888288971654	1	18,839,1141,6262,836,6546,1813,114,84687,7052,840,23514,7442
BIOCARTA_BARRESTIN_SRC_PATHWAY%MSigdb_C2%BIOCARTA_BARRESTIN_SRC_PATHWAY	BIOCARTA_BARRESTIN_SRC_PATHWAY	0.0101028649674962	0.995888288971654	-1	5894,3265,23236,5595,5594,107,5604,5605,408,1759,156,2778,3737
PROTEIN LOCALIZATION TO CENTROSOME%GOBP%GO:0071539	PROTEIN LOCALIZATION TO CENTROSOME	0.0118501114786227	0.995888288971654	1	1453,5108,11190,10464,9851,29887,2804,23386,55125,22994,26005,84376,64770,10540,585
PROTEIN LOCALIZATION TO MICROTUBULE ORGANIZING CENTER%GOBP%GO:1905508	PROTEIN LOCALIZATION TO MICROTUBULE ORGANIZING CENTER	0.0118501114786227	0.995888288971654	1	1453,5108,11190,10464,9851,29887,2804,23386,55125,22994,26005,84376,64770,10540,585
BIOCARTA_BARR_MAPK_PATHWAY%MSigdb_C2%BIOCARTA_BARR_MAPK_PATHWAY	BIOCARTA_BARR_MAPK_PATHWAY	0.0119810107191406	0.995888288971654	-1	5894,23236,5595,5594,107,5604,5605,408,1759,156,2778,3737
CLATHRIN COAT ASSEMBLY%GOBP%GO:0048268	CLATHRIN COAT ASSEMBLY	0.0132910072395676	0.995888288971654	1	2060,8301,51617,5286,3092,2580,50632,9026,27065,1759,1175,1213,115548,1211,23149
RECEPTOR CLUSTERING%GOBP%GO:0043113	RECEPTOR CLUSTERING	0.0133008404248301	0.995888288971654	1	1742,1855,1741,1739,9378,348,9270,9093,22871,3689,375323,5764,9863,9463,23513,7070,10243,2316,1740,9379,375790
BIOCARTA_RAB_PATHWAY%MSigdb_C2%BIOCARTA_RAB_PATHWAY	BIOCARTA_RAB_PATHWAY	0.0133172270849168	0.995888288971654	-1	5868,5862,7879,4218,58,5861,5867,5870,5864,9367,8766
BCR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BCR SIGNALING PATHWAY	BCR SIGNALING PATHWAY	0.0144579084597301	0.995888288971654	1	818,4067,5879,5894,6850,3265,5728,1432,25998,6654,7410,5921,5170,5595,5594,3635,10892,1147,1457,9467,4792,5604,5533,5530,27071,6885,2885,8915,5290,5777,207,4214,7189,5295,808,6464,2353,55824,3725,5336,84433,5532,8517,2113,5599,4790,3551,5970,4793,2002,5452
TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE%REACTOME%R-HSA-110313.2	TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE	0.014764077373867	0.995888288971654	1	9246,6118,11201,5984,51455,5111,9100,7706,5985,5983,7316,7314,10714,51426,5981,9636,10459,57804,7311,6119,6117,5982,6233,5424,5426,54107,7353,5425,5429,83932,55666
Wnt signaling in kidney disease%WikiPathways_20230910%WP4150%Homo sapiens	Wnt signaling in kidney disease	0.0151183821595688	0.995888288971654	1	8323,54361,7476,1855,8321,4041,5602,7976,1856,1499,5601,8325,2535,7855,4040,387,7473,7475,80326,27130,5599,8324,1857
REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0030808	REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS	0.0155532952888181	0.995888288971654	1	65990,201163,5163,142,5165,65018,84277,5164,7114,2023,56848,4846
REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371	REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS	0.0155532952888181	0.995888288971654	1	65990,201163,5163,142,5165,65018,84277,5164,7114,2023,56848,4846
CHONDROITIN SULFATE METABOLIC PROCESS%GOBP%GO:0030204	CHONDROITIN SULFATE METABOLIC PROCESS	0.0156634654468049	0.995888288971654	-1	79586,7358,22856,29940,55501,92126,54480,55454,9469,347734,50515,51363
PROCESSIVE SYNTHESIS ON THE C-STRAND OF THE TELOMERE%REACTOME%R-HSA-174414.4	PROCESSIVE SYNTHESIS ON THE C-STRAND OF THE TELOMERE	0.0156708971491375	0.995888288971654	1	6118,5111,3978,26277,2237,7013,10714,7486,7014,57804,6119,6117,54386,5424,25913,65057,5425
ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.2	ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS	0.0168008993204236	0.995888288971654	-1	8697,25906,5925,27338,29882,8881,6502,246184,119504,996,51433,7321,51529,29945,64682,51343,7324
FORMATION OF TC-NER PRE-INCISION COMPLEX%REACTOME DATABASE ID RELEASE 38%6781823	FORMATION OF TC-NER PRE-INCISION COMPLEX	0.0168037726233488	0.995888288971654	1	5438,8450,9978,5435,8533,1642,5441,7507,5436,64708,9716,2965,5433,50813,1161,91603,5437,57654,10980,51138,5440,1022,2033,56949,7316,8451,5432,4331,5434,10920,3150,7314,6917,9318,2074,2967,7311,10987,902,5430,2068,7874,2873,404672,6233,2968,5431,10450,2071,5439,57461
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	REGULATION OF T CELL ACTIVATION	0.0168546322355076	0.995888288971654	1	7525,27242,6385,301,10524,5590,9750,7494,4067,57630,1604,55274,64115,56339,6597,196528,4179,6595,8772,6850,27166,6605,57178,814,1845,1803,60,639,567,51043,3329,961,100133941,86,5170,1209,6541,6714,8440,25,8744,5588,7297,79576,6659,975,6666,6598,6603,10892,11146,5573,2534,6601,865,857,51571,11221,3958,9231,3659,9655,3572,5530,57492,3485,57045,3133,6602,2737,2625,5290,4860,84524,5777,861,29117,6188,207,7037,5914,10148,2648,23513,80381,3717,7070,634,140885,9479,3146,970,5771,51176,23240,6599,2319,55193,4192,55824,22890,84433,5781,64410,8289,1051,149041,10808,55626,3105,3726,51412,101,4690,81704,6522,9092,27,23149,6604,604,4092,10385,2309,387597,23308,6352,3481
PRESYNAPSE ORGANIZATION%GOBP%GO:0099172	PRESYNAPSE ORGANIZATION	0.0172069050607843	0.995888288971654	1	7476,1855,8321,5728,5789,22829,54413,22871,57502,57555,8927
PRESYNAPSE ASSEMBLY%GOBP%GO:0099054	PRESYNAPSE ASSEMBLY	0.0172069050607843	0.995888288971654	1	7476,1855,8321,5728,5789,22829,54413,22871,57502,57555,8927
BIOCARTA_P53HYPOXIA_PATHWAY%MSigdb_C2%BIOCARTA_P53HYPOXIA_PATHWAY	BIOCARTA_P53HYPOXIA_PATHWAY	0.0172083891612349	0.995888288971654	1	472,1647,2274,3091,581,3303,3320,7157,3337,2033,207,6872,4193,1728,6117,3486,1026,5599,4793
NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070664	NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION	0.0180108255687371	0.995888288971654	1	472,27242,6385,4067,64115,51043,6664,11146,5573,9231,57045,3133,23513,7128,23240,2950,1051,149041,6522,10385
PROCESSIVE SYNTHESIS ON THE LAGGING STRAND%REACTOME%R-HSA-69183.3	PROCESSIVE SYNTHESIS ON THE LAGGING STRAND	0.0180828788105628	0.995888288971654	1	6118,5557,5111,3978,2237,10714,57804,5558,6119,5422,6117,5424,5425
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	CARDIAC MUSCLE CELL DIFFERENTIATION	0.0181786119170785	0.995888288971654	-1	8470,6926,10611,4208,9794,57538,4205,80313,3670,1525,25776,657,3084,10529,80206,23363,90,6546,51548,79191,11214,5629,150094,650,7422
VALIDATED NUCLEAR ESTROGEN RECEPTOR ALPHA NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED NUCLEAR ESTROGEN RECEPTOR ALPHA NETWORK	VALIDATED NUCLEAR ESTROGEN RECEPTOR ALPHA NETWORK	0.018186410120072	0.995888288971654	1	9611,9166,7494,9612,9040,6294,322,5111,135112,8202,80781,10499,9759,4609,8648,8125,4089,1826,8204,11331,9039,718,8543,1147,57658,2033,5469,10521,3298,3732,1509,5457,4350,3065,63977,79039,5458,4738,9687,3725,84458,595,522,1051,10011,21,4731,162,6418,8313
PID_IL1_PATHWAY%MSigdb_C2%PID_IL1_PATHWAY	PID_IL1_PATHWAY	0.0182021992810292	0.995888288971654	1	3654,5590,54472,7335,1147,5584,23118,4615,5608,6885,5290,23085,7189,5295,8878,4215,3725,8517,5599,4790,7334,10454,3551,5970
IL1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL1-MEDIATED SIGNALING EVENTS	IL1-MEDIATED SIGNALING EVENTS	0.0182021992810292	0.995888288971654	1	3654,5590,54472,7335,1147,5584,23118,4615,5608,6885,5290,23085,7189,5295,8878,4215,3725,8517,5599,4790,7334,10454,3551,5970
JNK CASCADE%GOBP%GO:0007254	JNK CASCADE	0.0182773614986931	0.995888288971654	1	10045,4294,55504,6416,10221,5602,5601,4296,9175,1616,5609,7786,6885,9479,23542,2873,50488,10044,5599,1399,8491,2874,5871
NEGATIVE REGULATION OF CELLULAR SENESCENCE%GOBP%GO:2000773	NEGATIVE REGULATION OF CELLULAR SENESCENCE	0.0183011395563055	0.995888288971654	-1	4904,4282,5728,80317,1021,23411,8091,7014,51548,10000,4215,51343
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687139.4	ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS	0.0183783346159248	0.995888288971654	-1	8697,25906,5925,27338,894,29882,8881,1028,7027,6502,246184,1027,1021,119504,996,1019,51433,7029,7321,1017,896,51529,595,1871,29945,64682,1026,51343,898,7324
G-PROTEIN BETA:GAMMA SIGNALLING%REACTOME%R-HSA-397795.4	G-PROTEIN BETA:GAMMA SIGNALLING	0.0197986546344459	0.995888288971654	-1	2786,5058,2787,5170,23236,2783,59345,2790,207,387,208,54331,2782,55970,10000,2785,5331,998,2788
REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS%GOBP%GO:0070228	REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS	0.0198260422653484	0.995888288971654	1	4067,8772,27166,26155,5588,7157,3958,96459,8915,84524,94103,1831,25865,101,8660,27086,604,6352
CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME%R-HSA-2299718.3	CONDENSATION OF PROPHASE CHROMOSOMES	0.0198532925052107	0.995888288971654	1	8349,79648,5925,23310,387893,29781,10051,128312,55766,8347,10592,3017,8334,891,8338,54892,8341,94239,3014,3021,6418,85236
ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY%GOBP%GO:0007250	ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY	0.0199773801066256	0.995888288971654	1	3654,10892,10920,7186,6885,7189,8795,29775,8797,9966
PID_HNF3A_PATHWAY%MSigdb_C2%PID_HNF3A_PATHWAY	PID_HNF3A_PATHWAY	0.0199841042310653	0.995888288971654	1	7494,7026,8202,80781,1826,8204,6667,2033,6647,1027,23761,63977,2353,3725,522,1051,5451,1387,4731,162,4782,4781
PIGMENT METABOLIC PROCESS%GOBP%GO:0042440	PIGMENT METABOLIC PROCESS	0.0200594400747542	0.995888288971654	-1	56898,54977,3163,4779,645,7389,3162,28982,3145,4363,7390,5498,210,1371,93974,23456,7220,113235,2235,644,10857,211,1352,126321,2395,1355
Nanomaterial induced apoptosis%WikiPathways_20230910%WP2507%Homo sapiens	Nanomaterial induced apoptosis	0.0202416039548815	0.995888288971654	1	841,8772,637,355,839,581,2021,578,8837,836,9131,54205,27429,840,842,317,56616
PIGMENT BIOSYNTHETIC PROCESS%GOBP%GO:0046148	PIGMENT BIOSYNTHETIC PROCESS	0.0203342087737526	0.995888288971654	-1	54977,4779,7389,28982,3145,7390,5498,210,1371,93974,23456,7220,2235,10857,211,1352,2395,1355
DNA DAMAGE RECOGNITION IN GG-NER%REACTOME%R-HSA-5696394.2	DNA DAMAGE RECOGNITION IN GG-NER	0.0204904638745066	0.995888288971654	1	8450,9978,8533,1642,5887,64708,60,10445,142,7528,1069,50813,86,5886,10980,51138,7316,7508,8451,10920,7314,9318,4798,7311,10987,54617,1643,93973,54891,2873,6233,29844,8607,283899,79913,10038
Splicing factor NOVA regulated synaptic proteins%WikiPathways_20230910%WP4148%Homo sapiens	Splicing factor NOVA regulated synaptic proteins	0.0213659473736374	0.995888288971654	1	23705,3763,818,5590,490,23136,2054,288,3778,4134,5601,3785,57863,2036,2566,23154,858,4756,1600,2898,10752,22883,2035,1946,8573,23332,9568,334,54386,22938,10243,5596,5909,1000,5332,2037,375790,6813
MEIOSIS%REACTOME%R-HSA-1500620.3	MEIOSIS	0.0216190888715709	0.995888288971654	1	472,8243,8349,5889,6118,9985,10111,5932,545,23353,3306,10274,9126,27030,26277,128312,10735,55766,8347,5885,3017,7013,8334,1019,8338,7014,4292,8341,1017,6119,25777,6117,94239,54386,7156,25913,3014,65057,3021,4361,4683,4001,85236
REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063	REGULATION OF SISTER CHROMATID COHESION	0.0217854869537344	0.995888288971654	1	55719,8658,10664,1499,23063,2237,8260,5885,1663,286053,23137,9555,8313
POSITIVE REGULATION OF TELOMERASE RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:1904874	POSITIVE REGULATION OF TELOMERASE RNA LOCALIZATION TO CAJAL BODY	0.0218387946239618	0.995888288971654	-1	1736,7203,22948,6950,10576,10694,55164,55505,10574,92345,908,10856,10575,8607,55651
RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME%R-HSA-110314.4	RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX	0.0219015855540867	0.995888288971654	1	6118,8450,9978,1642,5984,5111,7398,5985,5983,7316,8451,7314,10714,5981,57804,7311,6119,6117,5982,57599,6233,5424,5426,7320,54107,5425
AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009063	AMINO ACID CATABOLIC PROCESS	0.022252402343727	0.995888288971654	1	8659,9673,1738,1629,4942,2109,18,384,6472,594,64087,113675,3028,642,36,1036,2805,2108,7915,38,80150,125061,1892,3712,2746,2752,2744,10295,8942,11112,875,4846,54511,1757,2731,26275,2184,5860,2954,2806,4329,23576,3155,56922,10157,138199,275,593,2653
BIOCARTA_BCELLSURVIVAL_PATHWAY%MSigdb_C2%BIOCARTA_BCELLSURVIVAL_PATHWAY	BIOCARTA_BCELLSURVIVAL_PATHWAY	0.0230152130915684	0.995888288971654	1	5977,3688,836,5290,207,5295,331,2353,10575,840,3727,51341
Endochondral ossification with skeletal dysplasias%WikiPathways_20230910%WP4808%Homo sapiens	Endochondral ossification with skeletal dysplasias	0.023988024930181	0.995888288971654	-1	4318,7078,6660,9510,6772,5727,4208,655,2247,7067,9759,6662,6777,657,1515,51719,1028,801,5566,2260,54407,2737,3157,207,11127,50515,8817,8100,871,3480,1473,7042,5328,7040,3481,7422
Endochondral ossification%WikiPathways_20230910%WP474%Homo sapiens	Endochondral ossification	0.023988024930181	0.995888288971654	-1	4318,7078,6660,9510,6772,5727,4208,655,2247,7067,9759,6662,6777,657,1515,51719,1028,801,5566,2260,54407,2737,3157,207,11127,50515,8817,8100,871,3480,1473,7042,5328,7040,3481,7422
ALPHA-AMINO ACID CATABOLIC PROCESS%GOBP%GO:1901606	ALPHA-AMINO ACID CATABOLIC PROCESS	0.0245987819787874	0.995888288971654	1	8659,4942,384,6472,64087,113675,3028,642,36,1036,2805,38,80150,125061,3712,2746,2752,2744,8942,11112,875,4846,54511,1757,2731,26275,2184,5860,2954,2806,4329,23576,3155,56922,10157,275,2653
PID_NFAT_TFPATHWAY%MSigdb_C2%PID_NFAT_TFPATHWAY	PID_NFAT_TFPATHWAY	0.0248657882680465	0.995888288971654	1	868,5743,8061,4775,5796,1606,5588,5770,1958,836,1019,2625,1960,2353,3725,5451,3726,6520,4094,83737,83737
TRANSCRIPTION-COUPLED NUCLEOTIDE EXCISION REPAIR (TC-NER)%REACTOME%R-HSA-6781827.2	TRANSCRIPTION-COUPLED NUCLEOTIDE EXCISION REPAIR (TC-NER)	0.0251075833371843	0.995888288971654	1	2067,5438,6118,8450,9978,5435,8533,1642,5441,7507,5436,5984,64708,9716,5111,2965,5433,3978,50813,7515,1161,91603,2072,5437,57654,10980,51138,8178,5440,1022,5985,2033,5983,56949,7316,8451,5432,4331,5434,10920,3150,7314,10714,6917,51426,5981,9318,2074,2967,57804,7311,10987,6119,902,5430,2068,6117,7874,2873,404672,5982,6233,3980,5424,2968,5431,5426,54107,5425,10450,2071,5439,57461,2073
PYROPTOSIS%GOBP%GO:0070269	PYROPTOSIS	0.0253801731856561	0.995888288971654	1	841,1687,839,4814,51074,6737,4671,836,1660,91039,3429
